Talhao;Plantio;IdParcela;AreaParc;DataPlantio;DataColeta;Linha;Arvore;Fuste;Cap;Ht;Categoria1;Categoria2;Inclinacao;CoordenadaX;CoordenadaY;Observacao
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;3;1;1;50;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;3;2;1;50.5;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;3;3;1;46;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;3;4;1;47.4;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;3;5;1;51.5;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;3;6;1;40.9;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;3;7;1;48.4;;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;4;1;1;50;26.2;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;4;2;1;49;28.1;NORMAL;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_016;400;01/06/2010;26/09/2018;2;5;1;;;FALHA;;0;-539763736;-2050202237;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;7;1;1;52;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;6;6;1;42.3;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;6;5;1;45.9;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;3;2;1;43.6;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;3;3;1;54.4;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;3;4;1;46.6;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;3;5;1;40.6;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;3;6;1;42.4;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;4;1;1;56;28.5;DOMINANTE;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;4;2;1;49.6;28.1;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;4;3;1;55.8;25.8;DOMINANTE;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;4;4;1;50;28.2;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;4;5;1;53.6;27.8;NORMAL;;0;-5397437435;-2050204247;
